start
Population,229,21000,21420
Population,230,93000,94860
Population,231,79832000,81428640
Population,232,190000,193800
Population,233,15000,15300
Population,234,180000,183600
Population,235,18112000,18474240
Population,236,10640000,10852800
Population,237,40377000,41184540
Population,238,9169000,9352380
Population,239,11669000,11902380
commit
